,키,분류,명칭,주소,행정 시,행정 구,행정 동,X 좌표,Y 좌표
65,BE_IW10-0921,장소/위치|종로여행,대한민국역사박물관,서울시 종로구 세종로 82-1,서울특별시,종로구,사직동,126.9779223,37.5739219
66,BE_IW10-0922,장소/위치|종로여행,대림미술관,서울시 종로구 통의동 35-1,서울특별시,종로구,사직동,126.9733074,37.5774958
69,BE_IW10-0925,장소/위치|종로여행,상명대학교 박물관,서울특별시 종로구 평창동 577-7 B동,서울특별시,종로구,평창동,126.975966,37.6105555
70,BE_IW10-0926,장소/위치|종로여행,가나아트센터,서울시 종로구 평창동 97,서울특별시,종로구,평창동,126.9751895,37.612236
71,BE_IW10-0927,장소/위치|종로여행,토탈미술관,서울특별시 종로구 평창동 465-16,서울특별시,종로구,평창동,126.9757439,37.6121142
76,BE_IW10-0912,장소/위치|종로여행,경찰박물관,서울시 종로구 신문로2가 58,서울특별시,종로구,사직동,126.9696697,37.5690134
77,BE_IW10-0913,장소/위치|종로여행,서울역사박물관,서울시 종로구 신문로2가 2-1,서울특별시,종로구,사직동,126.9688348,37.5707649
84,BE_IW10-0248,장소/위치|시설|민간시설|공연장,청아소극장,서울시 종로구 혜화동 195,서울특별시,종로구,혜화동,127.0026068,37.5839943
87,BE_IW10-0400,문화재유산,서울 동관왕묘,서울특별시 종로구 숭인동 238-1,서울특별시,종로구,숭인2동,127.0183336,37.57298
88,BE_IW10-0401,문화재유산,안양암 마애관음보살좌상,서울특별시 종로구 창신동 130-1,서울특별시,종로구,창신1동,127.0133571,37.5754539
92,BE_IW10-0388,문화재유산,창덕궁 희정당 금강산만물초승경도,서울특별시 종로구 와룡동 2-71,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
93,BE_IW10-0389,문화재유산,창덕궁 경훈각 삼선관파도,서울특별시 종로구 와룡동 2-71,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
94,BE_IW10-0390,문화재유산,창덕궁 경훈각 조일선관도,서울특별시 종로구 와룡동 2-71,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
95,BE_IW10-0391,문화재유산,서울 탑골공원,종로2가 38-1,서울특별시,종로구,종로1.2.3.4가동,126.988348,37.571206
96,BE_IW10-0392,문화재유산,서울 지장암 목조비로자나불좌상,창신동 626-3,서울특별시,종로구,창신2동,127.0087852,37.5776552
97,BE_IW10-0393,문화재유산,서울 부암동 백석동천,서울 종로구 부암동 115,서울특별시,종로구,부암동,126.9663345,37.6004294
101,BE_IW10-0397,문화재유산,서울 백악산 일원,서울 종로구 청운동 산2-27,서울특별시,종로구,청운효자동,126.965862,37.584838
102,BE_IW10-0398,문화재유산,석불좌상,서울특별시 종로구 세종로 1 ,서울특별시,종로구,청운효자동,126.9767743,37.5866061
103,BE_IW10-0399,문화재유산,창덕궁 대조전 백학도,서울특별시 종로구 와룡동 2-71,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
104,BE_IW10-0402,문화재유산|문화재구분,"서울 청계천 유적[광통교지,수표교지,오간수문지]",관철동 일반 270-1,서울특별시,종로구,종로1.2.3.4가동,126.985973,37.5691073
106,BE_IW10-0450,문화재유산|문화재구분|문묘,탕평비,서울특별시 종로구 명륜동 3가,서울특별시,종로구,종로1.2.3.4가동,126.9931,37.5875
109,BE_IW10-0405,문화재유산|문화재구분|궁궐,경복궁 근정전,서울특별시 종로구 세종로 1-1 경복궁,서울특별시,종로구,청운효자동,126.9769632,37.5806903
110,BE_IW10-0406,문화재유산|문화재구분|궁궐,경복궁 경회루,서울특별시 종로구 세종로 1-1 경복궁,서울특별시,종로구,청운효자동,126.9769632,37.5806903
116,BE_IW10-0411,문화재유산|문화재구분|궁궐,덕수궁,종로구 서울특별시 중구 정동 5-1,서울특별시,중구,소공동,126.979642,37.573033
117,BE_IW10-0412,문화재유산|문화재구분|궁궐,돈화문,서울특별시 종로구 와룡동 2-71 창덕궁,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
118,BE_IW10-0413,문화재유산|문화재구분|궁궐,창덕궁 대조전,서울특별시 종로구 와룡동 2-71 창덕궁,서울특별시,종로구,종로1.2.3.4가동,126.9913206,37.5827758
119,BE_IW10-0428,문화재유산|문화재구분|궁궐,경희궁지,서울특별시 종로구 신문로2가1-126,서울특별시,종로구,사직동,126.9679963,37.5721918
120,BE_IW10-0429,문화재유산|문화재구분|궁궐,경복궁 아미산의굴뚝,서울특별시 종로구 세종로 1 경복궁,서울특별시,종로구,청운효자동,126.9767743,37.5866061
121,BE_IW10-0430,문화재유산|문화재구분|궁궐,경복궁 자경전,서울특별시 종로구 세종로 1 경복궁,서울특별시,종로구,청운효자동,126.9767743,37.5866061
122,BE_IW10-0431,문화재유산|문화재구분|궁궐,오운정,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
123,BE_IW10-0437,문화재유산|문화재구분|도성,소의문,서울특별시 중구 순화동,서울특별시,중구,소공동,126.970438,37.562758
124,BE_IW10-0438,문화재유산|문화재구분|도성,서울 한양도성,서울특별시 종로구 누상동 산1-3외,서울특별시,종로구,청운효자동,126.9659005,37.5815283
125,BE_IW10-0439,문화재유산|문화재구분|도성,돈의문,서울특별시 종로구 신문로 2가,서울특별시,종로구,종로1.2.3.4가동,126.968813,37.570792
126,BE_IW10-0440,문화재유산|문화재구분|도성,숭례문,서울특별시 중구 남대문로4가 29,서울특별시,중구,소공동,126.975324,37.5599933
127,BE_IW10-0441,문화재유산|문화재구분|도성,숙정문,서울특별시 종로구 삼청동 산2-1,서울특별시,종로구,삼청동,126.9808095,37.5885407
128,BE_IW10-0442,문화재유산|문화재구분|도성,홍지문 및 탕춘대성,서울특별시 종로구홍지동 산4,서울특별시,종로구,부암동,126.9582734,37.598465
129,BE_IW10-0443,문화재유산|문화재구분|종묘,종묘,서울특별시 종로구 훈정동 1-2 종묘,서울특별시,종로구,종로1.2.3.4가동,126.9940942,37.5746664
130,BE_IW10-0444,문화재유산|문화재구분|종묘,종묘 어정,서울특별시 종로구 훈정동 66-5 종묘,서울특별시,종로구,종로1.2.3.4가동,126.9862921,37.574515
131,BE_IW10-0445,문화재유산|문화재구분|종묘,종묘정전,서울특별시 종로구 훈정동 1-2 종묘,서울특별시,종로구,종로1.2.3.4가동,126.9940942,37.5746664
132,BE_IW10-0446,문화재유산|문화재구분|종묘,종묘영녕전,서울특별시 종로구 훈정동 2-1 종묘,서울특별시,종로구,종로1.2.3.4가동,126.9951424,37.569936
133,BE_IW10-0447,문화재유산|문화재구분|사직,사직단,사직동 1-28,서울특별시,종로구,사직동,126.9672703,37.5759436
134,BE_IW10-0663,문화재유산|문화재구분|조형물,송시렬(宋時烈)선생 집터,서울특별시 종로구 혜화동 일반1-8번지,서울특별시,종로구,혜화동,127.0005764,37.5869186
135,BE_IW10-0664,문화재유산|문화재구분|조형물,세창서관터(世昌書館址),서울특별시 종로구 종로3가 18번지,서울특별시,종로구,종로1.2.3.4가동,126.9915496,37.5706809
136,BE_IW10-0665,문화재유산|문화재구분|조형물,세종대왕나신곳,서울특별시 종로구 통인동 일반 119번지,서울특별시,종로구,청운효자동,126.9701873,37.5801426
137,BE_IW10-0666,문화재유산|문화재구분|조형물,세검정차일암(洗劍亭遮日巖),서울특별시 종로구 신영동 172-4번지,서울특별시,종로구,부암동,126.9605171,37.6009603
138,BE_IW10-0667,문화재유산|문화재구분|조형물,성삼문선생살던곳,서울특별시 종로구 화동 23번지,서울특별시,종로구,삼청동,126.9821397,37.5816563
139,BE_IW10-0668,문화재유산|문화재구분|조형물,선공감(繕工監) 터,서울특별시 종로구 신문로1가 일반 186,서울특별시,종로구,사직동,126.9761849,37.5704858
140,BE_IW10-0669,문화재유산|문화재구분|조형물,석양루터(夕陽樓址),서울특별시 종로구 이화동 149-1번지,서울특별시,종로구,이화동,127.0042691,37.5769839
147,BE_IW10-0549,문화재유산|문화재구분|종교문화재,금강반야바라밀경(金剛般若波羅蜜經),서울특별시 종로구 새문안길 50 (서울역사박물관),서울특별시,종로구,종로1.2.3.4가동,126.979642,37.573033
148,BE_IW10-0550,문화재유산|문화재구분|종교문화재,안양암 석감마애관음보살상,서울특별시 종로구 창신동 130-3 안양암내,서울특별시,종로구,창신1동,127.013769,37.5755637
149,BE_IW10-0553,문화재유산|문화재구분|종교문화재,삼십분공덕소경,서울특별시 종로구 창신동 130-3,서울특별시,종로구,창신1동,127.013769,37.5755637
150,BE_IW10-0670,문화재유산|문화재구분|조형물,서울중심점(中心点) 표지돌,서울특별시 종로구 인사동 일반 194-4,서울특별시,종로구,종로1.2.3.4가동,126.986,37.5717
151,BE_IW10-0671,문화재유산|문화재구분|조형물,서울대학교 터,서울특별시 종로구 동숭동 1-124번지,서울특별시,종로구,이화동,127.002707,37.5804832
152,BE_IW10-0672,문화재유산|문화재구분|조형물,서북학회터(西北學會址),서울특별시 종로구 경운동 47-17,서울특별시,종로구,종로1.2.3.4가동,126.9870345,37.5739678
153,BE_IW10-0673,문화재유산|문화재구분|조형물,상춘원(常春園) 터,서울특별시 종로구 창신동 195-3번지,서울특별시,종로구,창신1동,127.0124949,37.5733026
154,BE_IW10-0674,문화재유산|문화재구분|조형물,사헌부(司憲府) 터,서울특별시 종로구 세종로 80-1번지,서울특별시,종로구,사직동,126.9759138,37.5733807
155,BE_IW10-0675,문화재유산|문화재구분|조형물,사포서터(司圃署址),서울특별시 종로구 수송동 104번지,서울특별시,종로구,종로1.2.3.4가동,126.9798861,37.574137
157,BE_IW10-0691,문화재유산|문화재구분|조형물,박인환선생생집터(朴寅煥先生家址),서울특별시 종로구 세종로동 116번지,서울특별시,종로구,평창동,126.979642,37.573033
158,BE_IW10-0751,문화재유산|문화재구분|조형물,치마바위,서울특별시 종로구 무악동,서울특별시,종로구,무악동,126.9580981,37.5760084
164,BE_IW10-0554,문화재유산|문화재구분|종교문화재,조계사대웅전후불탱화_조계사 석가불도(曺溪寺 釋迦佛圖),서울특별시 종로구 견지동 45,서울특별시,종로구,종로1.2.3.4가동,126.9823368,37.5739012
165,BE_IW10-0555,문화재유산|문화재구분|조형물,천상열차분야지도각석,서울특별시 종로구  세종로 1-57 국립고궁박물관,서울특별시,종로구,청운효자동,126.9767338,37.5764273
166,BE_IW10-0556,문화재유산|문화재구분|조형물,금잡인,서울특별시 종로구 숭인동 238-1번지,서울특별시,종로구,숭인2동,127.0183336,37.57298
167,BE_IW10-0557,문화재유산|문화재구분|조형물,촛대바위,서울특별시 종로구 무악동,서울특별시,종로구,무악동,126.9580981,37.5760084
